,logFC,logCPM,F,PValue,FDR
ENSG00000165140,0.39378334178625357,10.760473120423987,48.03231992540809,2.2613386015183007e-09,6.883571592043129e-09
ENSG00000132329,0.743119524614587,3.1842504009792254,47.68294064246735,2.506050140773705e-09,7.60456594441676e-09
ENSG00000227507,-0.6594500526117689,4.001188005527525,47.44830022866078,2.6855915664118334e-09,8.123914488395796e-09
ENSG00000101187,0.9227920119801206,3.2185570629655067,47.21692804337409,2.8756475713473658e-09,8.671734732287383e-09
ENSG00000156886,1.0221257352704287,3.372661782492214,48.72236476007571,3.100454015947517e-09,9.320619526202474e-09
ENSG00000154099,-0.9413310566383192,3.3401151001476084,46.815138658156854,3.239333689508211e-09,9.70797217165309e-09
ENSG00000169385,-0.8422964842379638,4.163972359549002,46.73517142375884,3.317206660313036e-09,9.910666812293269e-09
ENSG00000141293,-0.6776774363000735,3.598871273506376,46.77092159697376,3.5037138597030553e-09,1.0435676972900176e-08
ENSG00000196352,-0.30114141776662884,8.546081897185246,45.76185611585225,4.43572241186744e-09,1.3171102130943811e-08
ENSG00000081237,-0.2745704098098751,8.993862584355417,45.57373702214217,4.693402094311515e-09,1.3893618432090355e-08
ENSG00000010810,0.4498203796252821,5.823198060963704,45.51159825844513,4.781870540006407e-09,1.4112349642457933e-08
ENSG00000124942,0.25486579656788494,9.458196003917237,45.33449724085072,5.04357347247192e-09,1.482479219969745e-08
ENSG00000275214,-1.0419314222847609,8.232332626664734,45.32770057634207,5.05390643171504e-09,1.482479219969745e-08
ENSG00000099194,-0.5789820614299106,8.419790055783999,45.27354694655862,5.137020214725271e-09,1.5023068180827985e-08
ENSG00000142192,0.3025641854219605,7.918640237651657,45.245825141561504,5.180111343155595e-09,1.5103457169200648e-08
ENSG00000115590,-0.7660521754130284,5.596030982211281,45.20002201029927,5.252127023598819e-09,1.5267444320851822e-08
ENSG00000177606,-0.29474357152458813,10.126854234519005,44.65318943967528,6.19617185956193e-09,1.795776754507769e-08
ENSG00000120262,-0.6167701332993403,4.966616502187325,44.53032382388017,6.431389037187317e-09,1.8583834591036786e-08
ENSG00000091879,-1.0263341557695478,2.782712208771969,44.66586637567651,6.562582140708538e-09,1.8906486643469837e-08
ENSG00000169429,-0.6587055843106716,8.708966480390897,44.34787373540592,6.797800606528681e-09,1.9526026668011168e-08
ENSG00000130066,-0.22608838551009003,12.024226382828717,44.20049950870229,7.109458943577312e-09,2.0360817329535026e-08
ENSG00000117450,0.28101694397542176,9.443175316651711,44.11493522516241,7.29713217477002e-09,2.0836648805832977e-08
ENSG00000171223,-0.26855939669087386,10.00701402057673,44.07636213921862,7.383400817613443e-09,2.1020976445440627e-08
ENSG00000182010,0.8520251005291037,2.8841333243041913,44.25060024435137,7.913397170370689e-09,2.2463837128794215e-08
ENSG00000275302,-0.7591794972542468,8.07785772007463,43.48627198405023,8.8425478470483e-09,2.5028030163575304e-08
ENSG00000111640,0.2721650201374468,10.02937151622552,43.079590117884194,1.0018794074714343e-08,2.8274614181701123e-08
ENSG00000225691,-0.2567801169619573,11.021566057776834,42.92460003242871,1.0508540281203577e-08,2.957054358199146e-08
ENSG00000114315,-0.9578688402090612,4.182515635376651,42.666076852029256,1.138110634196033e-08,3.1933075185558257e-08
ENSG00000197756,0.20583525082787935,11.74356850656822,42.49623443558691,1.1994741740936257e-08,3.355754336770606e-08
ENSG00000114446,-0.4473289030087253,4.745565142248318,42.086866043376126,1.361810593607434e-08,3.798941367757914e-08
ENSG00000184009,0.19343367339752587,11.3673603372068,42.07207345664112,1.36808420531703e-08,3.805475605594497e-08
ENSG00000145675,-0.3117230967727632,6.9299857529542646,41.67079885914021,1.550143521030659e-08,4.2995384766695636e-08
ENSG00000164266,1.2832139749957416,5.349576351381136,41.69234021977718,1.6278912478290413e-08,4.502282079710034e-08
ENSG00000158747,1.0317682584275552,3.155853599039335,41.36412614753427,1.7060198932496268e-08,4.704920959161364e-08
ENSG00000143546,-0.4096075433243323,9.925685253862117,40.73871124805282,2.076054742053175e-08,5.709150540646231e-08
ENSG00000144837,-0.7847979772439913,3.2167155606648636,40.724768367412665,2.0851893495548056e-08,5.718026318325926e-08
ENSG00000148303,0.19141213541664126,10.901803882520076,40.54989548845725,2.2033423714171232e-08,6.024958800937218e-08
ENSG00000132002,-0.3940363961379835,8.552345022785786,40.350486179038896,2.3465404762401424e-08,6.398454030987205e-08
ENSG00000283391,0.2022252905115253,9.512761403362513,40.14941950819779,2.5006717867071407e-08,6.799579464978967e-08
ENSG00000120129,-0.2962725160685515,10.960015140172999,39.9460494463578,2.667218399209117e-08,7.232121597855533e-08
ENSG00000167552,0.3030988980256841,7.972693627758944,39.823219069318604,2.7733121158603832e-08,7.498788067466064e-08
ENSG00000108622,-0.7487699674753737,4.306151416599252,39.80101094923016,2.792954244821067e-08,7.530862699127557e-08
ENSG00000182809,0.6566448761282244,5.185737656723729,39.523363884918304,3.050994831272425e-08,8.196633502272713e-08
ENSG00000110318,-0.8198758999671916,2.8764211821729746,39.517397444192795,3.056802370165753e-08,8.196633502272713e-08
ENSG00000127603,0.3253261983314919,8.075875206541781,39.443554291619186,3.1296302907993586e-08,8.368735142248008e-08
ENSG00000126709,0.32451313389656006,9.895265051969313,39.32957662359241,3.2455736484569594e-08,8.654863062551891e-08
ENSG00000123358,-0.603937293095515,6.650139240317792,39.29600485964845,3.280562550404407e-08,8.72413337580073e-08
ENSG00000127920,-1.0947489907764583,3.286486796427113,39.1447132921636,3.443135875868505e-08,9.131385007782775e-08
ENSG00000120694,-0.43037969816278865,8.350641156482494,38.924397183033854,3.6948885807834825e-08,9.772273623492926e-08
ENSG00000125730,0.5245874731817639,5.946305543256334,38.708867261615936,3.9595814956332067e-08,1.042363461227489e-07
ENSG00000205542,-0.22490936176861318,14.936195919073763,38.706414321842225,3.962704067476404e-08,1.042363461227489e-07
